Publication;ID;Species;PN Type;Branching Type;Glomerulus Innervation;Additional Innervation;Hemisphere;Driver;Trace Identifier
duerr2024;070;Dsec;adPN;u;VC3l;;L;VT033006;BD_M108_LH_PN2_u_d
duerr2024;071;Dsec;adPN;m;md1;;L;VT033006;BD_M110_LH_PN1_m_d
duerr2024;072;Dsec;adPN;u;DC1;;R;VT033006;BD_M111_RH_PN1_u_d
duerr2024;073;Dsec;adPN;up;VM7v;DM6_VM2;R;VT033006;BD_M111_RH_PN2_up_d
duerr2024;074;Dsec;adPN;m;md1;;L;VT033006;BD_M112_LH_PN1_m_d
duerr2024;075;Dsec;adPN;up;DA4m;DA4l_DC1;R;VT033006;BD_M113_RH_PN1_up_d
duerr2024;076;Dsec;lPN;m;ml1;;R;VT033006;BD_M114_RH_PN1_m_l
duerr2024;077;Dsec;lPN;m;ml3;;R;VT033006;BD_M115_RH_PN1_m_l
duerr2024;078;Dsec;adPN;up;DL2v;DC3;L;VT033006;BD_M115_LH_PN1_up_d
duerr2024;079;Dsec;adPN;m;md1;;R;VT033006;BD_M116_RH_PN1_m_d
duerr2024;080;Dsec;lPN;m;ml3;;L;VT033006;BD_M117_LH_PN1_m_l
duerr2024;081;Dsec;adPN;up;DM6;VA2_VM7d_VM5d;L;VT033006;BD_M119_LH_PN1_up_d
duerr2024;082;Dsec;adPN;up;VC3l;VM3_VM5d;L;VT033006;BD_M119_LH_PN2_up_d
duerr2024;083;Dsec;adPN;up;VC3l;VM3_VM2;R;VT033006;BD_M119_RH_PN1_up_d
duerr2024;084;Dsec;adPN;up;VC3l;VM5d;R;VT033006;BD_M120_RH_PN1_up_d
duerr2024;085;Dsec;adPN;u;VL2a;;L;VT033006;BD_M120_LH_PN1_u_d
duerr2024;086;Dsec;adPN;up;VM5d;VM7d_VM3;R;VT033006;BD_M123_RH_PN1_up_d
duerr2024;087;Dsec;adPN;up;DC1;DL4_D;L;VT033006;BD_M123_LH_PN1_u_d
duerr2024;088;Dsec;adPN;up;DL2v;DL2d;R;VT033008;BD_M124_RH_PN1_up_d
duerr2024;089;Dsec;adPN;u;VC3l;;L;VT033008;BD_M124_LH_PN1_u_d
